action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,elapsed_time,group_id,ranking,frequency,potential_crash_before_intervention,potential_crash_after_intervention,best_intervention
change_to_left,False,False,False,True,True,True,False,True,True,swerve_left,0.5,2.57471060752869,38,1,2500,True,False,
change_to_left,False,False,False,True,True,True,False,True,True,swerve_right,0.5,2.58439636230469,38,1,2500,True,False,
change_to_left,False,False,False,True,True,True,False,True,True,change_to_right,0.999001,2.59338045120239,38,2,NA,True,True,
change_to_left,False,False,False,True,True,True,False,True,True,change_to_left,1,2.59802722930908,38,3,NA,True,True,
change_to_right,False,False,False,True,True,True,True,True,True,cruise,0.000999,2.59535098075867,39,1,2500,True,False,*
change_to_right,False,False,False,True,True,True,True,True,True,keep,0.000999,2.57012128829956,39,1,2500,True,False,
change_to_right,False,False,False,True,True,True,True,True,True,swerve_left,0.000999,2.57183218002319,39,1,2500,True,False,
change_to_right,False,False,False,True,True,True,True,True,True,swerve_right,0.5,2.60462141036987,39,2,NA,True,False,
change_to_right,False,False,False,True,True,True,True,True,True,change_to_left,0.999001,2.60256576538086,39,3,NA,True,True,
change_to_right,False,False,False,True,True,True,True,True,True,change_to_right,1,2.57798266410828,39,4,NA,True,True,
change_to_left,False,False,False,True,True,True,True,True,True,cruise,0.000999,2.57626175880432,40,1,3215,True,False,
change_to_left,False,False,False,True,True,True,True,True,True,keep,0.000999,2.58983111381531,40,1,3215,True,False,*
change_to_left,False,False,False,True,True,True,True,True,True,swerve_left,0.000999,2.59086179733276,40,1,3215,True,False,
change_to_left,False,False,False,True,True,True,True,True,True,swerve_right,0.5,2.58433032035828,40,2,NA,True,False,
change_to_left,False,False,False,True,True,True,True,True,True,change_to_right,0.999001,2.59087252616882,40,3,NA,True,True,
change_to_left,False,False,False,True,True,True,True,True,True,change_to_left,1,2.59595155715942,40,4,NA,True,True,
change_to_right,False,False,True,False,False,False,False,True,True,keep,0.000999,2.55828809738159,41,1,2500,True,False,*
change_to_right,False,False,True,False,False,False,False,True,True,swerve_left,0.5,2.58561015129089,41,2,NA,True,False,
change_to_right,False,False,True,False,False,False,False,True,True,swerve_right,0.5,2.57226967811584,41,2,NA,True,False,
change_to_right,False,False,True,False,False,False,False,True,True,change_to_left,0.999001,2.59607839584351,41,3,NA,True,True,
change_to_right,False,False,True,False,False,False,False,True,True,cruise,0.999001,2.59196376800537,41,3,NA,True,True,
change_to_right,False,False,True,False,False,False,False,True,True,change_to_right,1,2.60070610046387,41,4,NA,True,True,
cruise,False,False,True,False,False,False,False,True,True,keep,0.000999,2.60378289222717,42,1,2500,True,False,*
cruise,False,False,True,False,False,False,False,True,True,swerve_left,0.5,2.5591881275177,42,2,NA,True,False,
cruise,False,False,True,False,False,False,False,True,True,swerve_right,0.5,2.61646103858948,42,2,NA,True,False,
cruise,False,False,True,False,False,False,False,True,True,change_to_left,0.999001,2.59681558609009,42,3,NA,True,True,
cruise,False,False,True,False,False,False,False,True,True,change_to_right,0.999001,2.58425807952881,42,3,NA,True,True,
cruise,False,False,True,False,False,False,False,True,True,cruise,1,2.56746625900269,42,4,NA,True,True,
